ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
KPIL,2026-06-11,21566.04,23266.47,21.26,9.92,2.76,0.79,14.2,16.64,3.77,17.24,30.13,23.32,23.05,11.76,10.94,0.46,1.25,3.67,27143.06,,,,18.38,15.95,8.25,,,37.36,37.36,14.18,33.58,10.92,45.12,10.38,,,,3542.62,,,screener,2026-06-11T12:45:34.591728+05:30
KPITTECH,2026-06-11,19987.82,19485.38,29.57,14.92,5.61,3.1,20.97,26.31,11.07,20.32,53.41,58.26,48.92,27.32,26.47,0.24,1.03,13.65,6454.93,,,,24.25,25.96,18.9,,,21.15,21.15,36.82,39.42,13.25,24.65,21.98,,,,838.38,,,screener,2026-06-11T12:45:34.591728+05:30
KPRMILL,2026-06-11,36016.93,35244.76,41.55,25.15,6.34,5.42,16.2,20.16,13.55,24.63,37.24,33.46,20.6,17.42,19.99,0.1,4.37,22.98,6650.37,,,,2.44,13.52,19.06,,,3.2,3.2,11.08,67.52,6.64,19.47,6.35,,,,596.14,,,screener,2026-06-11T12:45:34.591728+05:30
LALPATHLAB,2026-06-11,26823.66,26113.16,50.79,29.55,10.72,9.71,22.54,28.29,18.18,46.83,58.14,63.77,55.75,22.49,21.59,0.08,3.48,31.67,2762.9,,,,11.06,11.81,28.32,,,30.33,30.33,12.58,53.21,17.18,21.37,7.88,,,,199.0,,,screener,2026-06-11T12:45:34.591728+05:30
LAURUSLABS,2026-06-11,75424.29,77829.07,84.85,42.47,14.2,11.07,18.19,17.66,8.97,31.66,93.42,56.46,33.17,10.34,15.0,0.48,1.33,7.92,6812.9,,,,4.09,7.19,26.09,,,3.99,3.99,-2.02,27.49,25.82,13.96,32.73,,,,2518.48,,,screener,2026-06-11T12:45:34.591728+05:30
LEMONTREE,2026-06-11,8302.74,10208.59,33.45,14.62,6.01,5.75,19.42,13.95,7.54,28.48,64.58,68.09,80.89,18.23,12.48,1.44,1.21,3.35,1444.5,,,,18.19,41.83,47.78,,,29.44,29.44,31.63,22.32,21.59,15.67,40.36,,,,2003.65,,,screener,2026-06-11T12:45:34.591728+05:30
LENSKART,2026-06-11,87588.06,89140.98,174.09,46.36,10.04,9.94,6.86,8.44,4.12,49.62,150.06,150.06,150.06,4.02,2.28,0.35,2.26,4.9,8814.04,,,,32.51,57.64,19.84,,,114.65,114.65,77.04,17.55,4.26,15.48,62.3,,,,3096.6,,,screener,2026-06-11T12:45:34.591728+05:30
LGEINDIA,2026-06-11,103478.88,99461.77,61.41,36.35,13.48,4.21,24.72,32.23,13.4,45.38,51.92,51.92,51.92,34.26,29.61,0.06,2.08,57.67,24604.91,,,,7.39,10.28,9.79,,,7.82,7.82,1.97,85.0,2.73,8.03,4.25,,,,459.16,,,screener,2026-06-11T12:45:34.591728+05:30
LICHSGFIN,2026-06-11,29840.91,306031.46,5.34,11.34,0.72,1.03,14.41,8.59,1.75,14.64,6.54,7.17,7.97,15.48,13.92,6.7,0.4,1.36,28837.11,,,,8.28,7.72,93.58,,,24.69,24.69,15.38,45.24,21.39,20.89,12.49,,,,277538.95,,,screener,2026-06-11T12:45:34.591728+05:30
LICI,2026-06-11,498156.82,426144.67,8.68,7.97,2.83,0.51,37.82,35.14,0.99,66.1,11.76,13.24,13.24,45.5,51.85,0.0,5.95,,977772.08,,,,7.61,7.19,4.87,,,16.94,16.94,80.8,96.5,0.33,1.09,2.1,,,,1.02,,,screener,2026-06-11T12:45:34.591728+05:30
