ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
SBFC,2026-06-11,10027.75,16544.43,22.23,14.25,2.68,5.97,13.04,11.8,4.58,20.35,33.05,33.05,33.05,11.89,10.91,1.92,3.87,2.12,1678.82,,,,31.73,26.89,69.12,,,44.2,44.2,39.59,52.35,6.21,21.97,19.4,,,,7161.71,,,screener,2026-06-11T12:45:34.591728+05:30
SBICARD,2026-06-11,54660.42,96404.37,25.18,15.75,3.47,2.75,14.69,10.1,3.29,20.35,32.73,37.01,42.66,16.8,19.03,2.8,0.55,1.95,19899.63,,,,13.33,16.43,26.7,,,-1.37,-1.37,17.08,68.92,9.54,18.12,3.42,,,,44063.73,,,screener,2026-06-11T12:45:34.591728+05:30
SBILIFE,2026-06-11,172268.12,169060.18,69.73,62.69,9.01,1.53,13.7,14.95,0.52,66.1,75.35,75.97,71.71,14.14,14.04,0.0,1.55,,112315.46,,,,11.68,6.52,0.67,,,12.81,12.81,11.15,55.33,21.51,19.13,4.02,,,,0.0,,,screener,2026-06-11T12:45:34.591728+05:30
SBIN,2026-06-11,924077.1,7497368.85,11.09,17.28,1.54,1.79,15.38,6.13,1.11,8.13,9.64,10.48,11.98,16.52,15.93,11.44,2.29,1.36,514932.59,95000.0,75000.0,12.5,15.8,13.11,45.86,20.5,15.5,14.38,14.38,30.01,55.52,11.41,26.11,6.81,2025-01-28,Q3FY25,125000.0,6820399.27,22.0,85000.0,screener,2026-06-11T12:45:34.591728+05:30
SCHAEFFLER,2026-06-11,61801.72,59999.89,49.45,29.67,10.06,6.31,20.8,27.9,15.82,27.43,55.59,53.29,47.58,20.03,20.12,0.01,2.64,458.07,9792.26,,,,11.01,20.09,18.94,,,11.33,11.33,32.73,74.13,4.25,16.32,5.28,,,,39.01,,,screener,2026-06-11T12:45:34.591728+05:30
SCHNEIDER,2026-06-11,25851.52,26041.92,116.04,66.99,33.37,8.94,35.61,29.63,10.42,35.14,78.92,78.62,79.97,58.88,,0.71,1.73,7.02,2890.63,,,,17.6,17.38,12.83,,,27.13,27.13,80.08,75.0,3.18,4.07,17.74,,,,548.25,,,screener,2026-06-11T12:45:34.591728+05:30
SCI,2026-06-11,13559.42,15889.64,10.05,5.97,1.5,2.35,15.54,14.31,10.82,11.53,11.18,8.25,6.95,11.82,11.23,0.29,2.23,9.2,5779.79,,,,-0.08,9.31,37.81,,,16.09,16.09,14.37,63.75,8.98,2.49,24.79,,,,2679.25,,,screener,2026-06-11T12:45:34.591728+05:30
SHREECEM,2026-06-11,85294.86,86821.21,48.91,16.39,3.66,4.07,7.78,10.48,5.83,28.42,55.19,51.72,49.84,8.34,9.06,0.08,2.16,11.83,20943.47,,,,5.47,9.08,22.14,,,11.38,11.38,-5.17,62.55,8.94,15.79,12.48,,,,1868.14,,,screener,2026-06-11T12:45:34.591728+05:30
SHRIRAMFIN,2026-06-11,208103.55,450852.38,20.78,12.69,2.55,4.32,16.38,11.47,3.26,20.35,14.45,13.82,13.85,15.78,15.54,3.8,3.64,1.62,48132.95,,,,16.44,22.54,73.67,,,18.58,18.58,32.02,20.3,56.14,18.62,4.94,,,,250691.96,,,screener,2026-06-11T12:45:34.591728+05:30
SHYAMMETL,2026-06-11,26906.91,27806.32,25.17,10.96,2.32,1.45,9.7,13.01,5.83,21.5,22.5,16.57,16.57,10.18,13.63,0.09,1.0,8.61,18552.21,,,,13.59,24.12,12.58,,,8.6,8.6,4.9,74.59,3.09,9.17,12.85,,,,1005.07,,,screener,2026-06-11T12:45:34.591728+05:30
SIEMENS,2026-06-11,126422.78,121121.18,53.23,33.86,9.15,5.09,16.26,21.22,10.2,35.14,64.99,49.17,42.4,16.58,15.21,0.02,2.67,93.55,24845.6,,,,15.47,20.09,11.37,,,15.89,15.89,25.31,75.0,6.8,8.59,9.6,,,,310.2,,,screener,2026-06-11T12:45:34.591728+05:30
SIGNATURE,2026-06-11,10878.32,11120.2,303.09,82.36,5.89,4.19,2.79,2.6,0.24,26.02,310.17,310.17,310.17,7.48,,1.61,1.16,1.71,2595.87,,,,18.66,99.54,-1.85,,,36.61,36.61,19.56,69.63,9.53,5.41,15.44,,,,2978.58,,,screener,2026-06-11T12:45:34.591728+05:30
SJVN,2026-06-11,27881.89,57637.86,43.43,16.53,1.96,6.16,4.52,5.57,1.31,27.38,47.43,33.77,9.23,5.41,6.81,2.27,0.72,1.88,4528.29,,,,15.51,12.75,72.71,,,-22.68,-22.68,-19.33,81.85,2.75,3.74,11.65,,,,32278.49,,,screener,2026-06-11T12:45:34.591728+05:30
SOBHA,2026-06-11,13867.59,13421.39,71.7,26.67,2.96,2.67,4.17,6.9,1.05,26.02,161.54,99.14,46.67,3.16,3.78,0.22,1.14,2.89,5190.5,,,,16.18,19.73,5.97,,,22.92,22.92,25.49,52.88,6.23,26.1,14.78,,,,1057.39,,,screener,2026-06-11T12:45:34.591728+05:30
SOLARINDS,2026-06-11,162367.67,163307.55,96.81,59.38,25.88,16.5,31.46,36.79,18.26,32.02,92.39,73.58,48.33,31.7,31.44,0.24,2.06,18.65,9837.74,1650.0,1430.0,22.5,28.5,31.36,26.65,21.0,25.5,28.7,28.7,43.47,73.15,6.59,12.89,7.35,2025-01-28,Q3FY25,5500.0,1524.02,85.0,1100.0,screener,2026-06-11T12:45:34.591728+05:30
SONACOMS,2026-06-11,36761.85,36904.5,53.67,31.1,6.32,8.91,12.19,15.78,10.43,27.43,66.55,73.74,73.74,14.42,15.58,0.06,3.42,49.45,4123.67,,,,18.99,24.12,25.24,,,21.13,21.13,24.76,28.02,23.7,41.46,6.82,,,,363.41,,,screener,2026-06-11T12:45:34.591728+05:30
SPLPETRO,2026-06-11,12595.95,12289.24,37.64,22.02,5.33,2.36,14.55,19.23,9.68,15.87,35.77,26.67,22.79,16.17,23.08,0.05,2.02,33.12,5338.4,,,,0.32,10.88,9.64,,,-10.86,-10.86,-6.83,64.24,3.69,4.24,27.74,,,,126.07,,,screener,2026-06-11T12:45:34.591728+05:30
SRF,2026-06-11,79692.36,84164.19,41.89,23.93,5.67,5.05,14.27,14.61,8.33,22.25,53.28,43.17,31.33,12.36,15.96,0.36,1.1,9.58,15786.51,,,,2.01,13.45,21.6,,,-4.11,-4.11,9.7,50.26,16.67,21.17,11.87,,,,5082.79,,,screener,2026-06-11T12:45:34.591728+05:30
STARHEALTH,2026-06-11,30907.51,30575.87,55.51,40.53,3.23,1.73,6.7,8.57,2.51,41.7,42.77,44.11,44.11,9.66,5.34,0.05,0.48,,17824.99,,,,13.8,28.69,4.18,,,-3.45,-3.45,20.25,57.98,15.06,20.31,6.66,,,,489.92,,,screener,2026-06-11T12:45:34.591728+05:30
SUMICHEM,2026-06-11,22386.66,22320.61,40.37,27.52,6.61,7.03,17.66,23.46,13.26,21.88,51.66,51.29,51.8,17.35,19.53,0.02,3.48,114.6,3185.76,,,,-3.19,3.81,20.87,,,3.27,3.27,9.94,75.0,3.41,8.98,12.6,,,,53.02,,,screener,2026-06-11T12:45:34.591728+05:30
SUNDARMFIN,2026-06-11,45835.84,113952.46,21.64,14.71,3.11,4.67,15.06,9.45,2.63,20.35,28.46,24.87,23.64,14.87,14.63,4.68,1.6,1.58,9808.92,,,,21.26,13.13,78.33,,,16.86,16.86,12.76,37.21,18.97,7.69,35.34,,,,69636.3,,,screener,2026-06-11T12:45:34.591728+05:30
SUNPHARMA,2026-06-11,429840.85,422865.09,34.48,21.46,5.11,7.35,16.02,20.53,12.47,31.66,35.44,32.51,30.4,16.49,16.11,0.06,2.82,49.47,58462.04,,,,10.03,11.78,30.33,,,13.19,13.19,16.85,54.48,15.94,21.0,8.48,,,,4627.32,,,screener,2026-06-11T12:45:34.591728+05:30
SUNTV,2026-06-11,19822.47,19638.87,13.28,7.14,1.56,4.57,12.3,16.51,11.29,26.4,13.76,13.01,14.22,15.54,16.94,0.01,7.8,145.65,4334.82,,,,4.74,6.41,50.36,,,-3.71,-3.71,0.45,75.0,6.64,10.91,7.46,,,,105.93,,,screener,2026-06-11T12:45:34.591728+05:30
SUPREMEIND,2026-06-11,43916.36,43348.72,47.11,25.93,7.11,3.91,15.77,20.73,12.47,19.85,55.7,48.05,37.06,17.99,19.83,0.01,2.2,42.86,11217.68,,,,6.83,12.04,13.85,,,3.32,3.32,-0.89,48.96,17.12,19.14,14.69,,,,90.84,,,screener,2026-06-11T12:45:34.591728+05:30
SUZLON,2026-06-11,73398.61,72708.69,23.19,22.71,7.71,4.39,40.64,35.07,19.88,35.14,82.5,82.35,51.77,38.95,,0.06,1.65,6.24,16731.84,,,,40.99,37.98,18.06,,,164.98,164.98,45.66,11.73,23.85,9.18,55.23,,,,555.78,,,screener,2026-06-11T12:45:34.591728+05:30
SWANCORP,2026-06-11,9652.87,10934.16,35.19,19.18,1.28,2.21,3.68,3.87,1.98,15.87,48.48,48.48,62.97,1.46,0.23,0.28,1.91,5.49,4371.2,,,,44.85,68.64,-4.66,,,85.72,85.72,43.08,53.96,10.41,12.88,22.72,,,,2103.49,,,screener,2026-06-11T12:45:34.591728+05:30
SWIGGY,2026-06-11,66288.94,64796.94,,-23.76,3.59,2.88,-29.05,-24.06,-20.49,48.71,,,,,,0.14,3.35,-19.72,23053.0,,,,40.77,55.36,-14.03,,,0.19,0.19,,0.0,14.59,25.45,54.39,,,,2551.0,,,screener,2026-06-11T12:45:34.591728+05:30
SYNGENE,2026-06-11,18383.12,18008.52,48.97,18.21,3.82,4.92,7.86,10.12,5.43,39.49,56.36,56.72,55.04,10.37,11.44,0.09,1.38,10.99,3738.7,,,,5.4,11.35,24.57,,,-7.22,-7.22,-0.21,52.68,13.91,26.44,6.69,,,,458.4,,,screener,2026-06-11T12:45:34.591728+05:30
SYRMA,2026-06-11,24277.34,24378.43,75.6,41.86,8.49,5.04,13.92,16.73,7.01,30.85,70.89,65.4,65.4,10.55,10.86,0.14,1.7,10.32,4819.06,,,,33.0,40.32,11.3,,,39.31,39.31,36.18,42.28,6.6,16.59,34.41,,,,399.89,,,screener,2026-06-11T12:45:34.591728+05:30
TARIL,2026-06-11,9170.06,9485.69,34.7,21.36,6.05,3.66,19.11,23.3,11.22,35.14,78.64,41.58,32.55,18.85,16.5,0.3,1.82,8.11,2508.8,,,,21.59,27.59,15.27,,,86.56,86.56,105.85,64.36,8.33,1.77,25.54,,,,456.65,,,screener,2026-06-11T12:45:34.591728+05:30
TATACAP,2026-06-11,135559.89,368182.85,27.79,15.92,2.94,4.3,12.34,8.58,1.83,20.35,29.94,29.94,29.94,13.24,14.39,5.15,1.21,1.41,31539.89,,,,32.26,26.24,73.18,,,17.19,17.19,34.07,85.41,4.88,3.6,5.43,,,,236375.92,,,screener,2026-06-11T12:45:34.591728+05:30
TATACHEM,2026-06-11,18848.44,26407.44,69.54,11.88,0.9,1.29,1.27,3.42,1.18,22.25,46.51,34.25,11.81,1.58,4.53,0.38,0.96,1.73,14584.0,,,,-4.58,7.41,12.38,,,-50.77,-50.77,2.85,37.98,11.9,22.83,27.25,,,,8001.0,,,screener,2026-06-11T12:45:34.591728+05:30
TATACOMM,2026-06-11,55489.52,67043.08,50.46,13.08,16.09,2.24,34.01,14.69,3.99,41.42,45.13,35.88,34.34,48.06,74.25,3.55,0.49,3.02,24802.72,,,,11.61,7.72,19.44,,,-14.03,-14.03,-2.85,58.86,14.44,19.14,7.56,,,,12248.9,,,screener,2026-06-11T12:45:34.591728+05:30
TATACONSUM,2026-06-11,110018.09,109417.11,71.64,37.37,5.05,5.42,7.35,9.24,4.66,24.56,79.7,78.86,67.18,7.52,7.23,0.13,1.44,16.79,20290.43,,,,13.76,11.83,13.76,,,12.52,12.52,12.07,33.83,20.79,24.18,21.16,,,,2819.51,,,screener,2026-06-11T12:45:34.591728+05:30
TATAELXSI,2026-06-11,25192.77,23686.41,36.2,22.95,8.29,6.7,23.58,30.0,18.44,20.32,53.44,59.06,44.09,28.65,31.81,0.05,3.92,52.54,3757.42,,,,6.11,15.52,22.58,,,-2.77,-2.77,13.75,43.9,11.08,11.39,33.62,,,,162.28,,,screener,2026-06-11T12:45:34.591728+05:30
TATAINVEST,2026-06-11,32532.77,32522.78,75.0,67.96,1.11,80.72,1.44,1.57,1.29,31.47,89.69,65.42,38.54,1.32,1.31,0.0,0.42,832.72,403.05,,,,13.26,19.83,89.57,,,19.86,19.86,23.01,73.38,2.62,0.54,23.03,,,,0.52,,,screener,2026-06-11T12:45:34.591728+05:30
TATAMOTORS,2025-03-31,285000.0,420000.0,8.0,6.0,2.8,0.8,35.8,12.5,5.2,,,,,,,1.85,1.2,2.8,440000.0,72000.0,35000.0,12.5,18.2,,16.4,8.0,15.2,22.5,,,42.5,14.5,22.8,20.2,2025-01-28,Q3FY25,25000.0,180000.0,55.0,42000.0,,
TATAPOWER,2026-06-11,124554.32,187051.59,32.79,11.14,3.16,2.0,10.09,10.46,3.13,31.19,31.87,31.72,25.14,10.74,10.88,1.93,0.78,2.28,62428.59,,,,4.24,13.8,20.98,,,5.55,5.55,27.11,46.86,10.04,17.98,24.81,,,,76141.27,,,screener,2026-06-11T12:45:34.591728+05:30
TATASTEEL,2026-06-11,247860.43,330184.58,21.9,9.2,2.44,1.07,11.71,12.52,3.99,18.22,56.13,28.54,13.09,7.44,14.3,0.9,0.74,3.34,232139.94,,,,-1.56,8.21,14.8,,,9.59,9.59,7.59,33.19,18.58,26.67,21.36,,,,92381.68,,,screener,2026-06-11T12:45:34.591728+05:30
TATATECH,2026-06-11,30181.86,30404.67,49.2,28.91,7.69,5.48,16.34,20.9,7.9,23.57,46.41,46.41,46.41,19.2,20.07,0.24,1.32,26.57,5505.57,,,,7.64,18.25,15.49,,,-0.59,-0.59,20.78,55.18,5.77,3.44,35.58,,,,937.98,,,screener,2026-06-11T12:45:34.591728+05:30
TBOTEK,2026-06-11,13323.72,12802.09,54.97,30.42,8.61,4.98,17.65,18.0,3.12,30.08,76.36,76.36,76.36,24.65,26.09,0.49,1.08,7.67,2677.48,,,,35.99,79.97,13.81,,,19.53,19.53,90.79,44.41,29.71,20.34,3.87,,,,756.14,,,screener,2026-06-11T12:45:34.591728+05:30
TCS,2026-06-11,774017.45,772392.45,14.82,10.1,7.17,2.9,51.81,63.03,30.95,20.32,28.43,30.03,26.89,51.9,49.36,0.11,1.67,57.78,267021.0,68000.0,46200.0,5.8,12.5,10.22,27.11,19.1,6.5,7.5,7.5,9.45,71.77,9.66,13.34,5.16,2025-01-16,Q3FY25,55000.0,11283.0,32.0,52800.0,screener,2026-06-11T12:45:34.591728+05:30
TECHM,2026-06-11,143524.07,140604.87,28.7,15.51,4.83,2.53,17.55,23.14,10.67,20.32,35.1,30.36,20.07,13.66,15.94,0.07,1.9,21.29,56815.4,,,,2.16,8.46,15.9,,,1.17,1.17,2.47,34.97,18.59,37.34,8.94,,,,2186.2,,,screener,2026-06-11T12:45:34.591728+05:30
TECHNOE,2026-06-11,11701.5,11643.67,26.07,19.04,2.82,3.6,11.36,14.85,8.17,17.24,45.05,31.82,27.34,12.24,12.31,0.02,4.06,30.85,3251.63,,,,57.67,29.77,14.2,,,33.98,33.98,25.15,56.92,8.65,22.72,11.7,,,,72.49,,,screener,2026-06-11T12:45:34.591728+05:30
TEGA,2026-06-11,12970.8,11246.73,90.91,35.28,3.81,7.67,5.94,8.09,4.46,30.85,55.54,44.99,44.99,11.14,13.12,0.12,4.72,9.9,1691.94,,,,11.7,16.0,13.66,,,-8.13,-8.13,0.49,67.5,2.14,18.97,11.38,,,,398.4,,,screener,2026-06-11T12:45:34.591728+05:30
TEJASNET,2026-06-11,10146.36,14183.53,,-21.87,3.44,9.2,-26.82,-14.64,-9.15,59.04,53.57,62.51,22.93,-4.01,-3.58,1.43,1.14,-3.47,1103.28,,,,6.26,15.94,-61.8,,,,,,53.4,5.29,4.32,36.86,,,,4177.08,,,screener,2026-06-11T12:45:34.591728+05:30
TENNIND,2026-06-11,22825.84,22305.89,36.63,22.66,19.05,4.22,44.42,60.76,23.26,27.43,35.98,35.98,35.98,41.99,,0.04,1.42,26.1,5403.98,,,,3.83,,17.13,,,17.77,17.77,,74.79,8.94,12.58,3.69,,,,51.49,,,screener,2026-06-11T12:45:34.591728+05:30
THELEELA,2026-06-11,13555.35,15080.73,33.2,18.6,2.11,8.88,8.2,8.72,4.75,28.48,38.12,38.12,38.12,,,0.28,1.02,3.43,1527.29,,,,21.1,,48.46,,,105.63,105.63,,75.91,8.62,10.51,4.96,,,,1810.95,,,screener,2026-06-11T12:45:34.591728+05:30
THERMAX,2026-06-11,55049.0,56210.87,81.35,43.46,9.94,5.15,12.91,14.88,5.35,35.14,68.33,68.98,62.0,13.51,12.6,0.42,1.22,7.81,10694.15,,,,9.75,17.42,9.59,,,14.31,14.31,22.5,61.98,11.25,15.49,5.82,,,,2352.53,,,screener,2026-06-11T12:45:34.591728+05:30
TIINDIA,2026-06-11,59144.9,58430.04,89.82,22.09,7.65,2.59,9.91,16.96,6.19,27.43,81.83,69.69,63.57,15.41,18.7,0.1,1.87,31.95,22847.43,,,,15.15,30.3,9.88,,,-11.39,-11.39,16.88,44.04,21.42,21.75,12.33,,,,754.01,,,screener,2026-06-11T12:45:34.591728+05:30
TIMKEN,2026-06-11,26589.83,26379.95,66.75,41.23,8.95,7.78,13.69,18.26,11.1,60.43,60.9,60.73,53.91,15.91,17.57,0.0,2.89,145.13,3419.32,,,,6.8,19.37,17.89,,,0.68,0.68,22.7,51.05,6.96,30.63,11.35,,,,14.56,,,screener,2026-06-11T12:45:34.591728+05:30
TITAGARH,2026-06-11,11153.66,11459.59,69.83,30.21,4.5,3.5,6.47,10.6,4.09,66.74,55.65,48.4,52.58,11.3,10.47,0.25,1.81,4.64,3185.82,,,,4.65,15.94,10.39,,,7.1,7.1,65.22,40.45,10.67,12.46,36.42,,,,623.12,,,screener,2026-06-11T12:45:34.591728+05:30
TITAN,2026-06-11,356965.52,369599.52,69.35,41.49,22.7,4.08,37.68,25.8,10.17,16.01,87.94,87.86,80.61,34.43,32.45,0.93,1.28,6.85,87584.0,,,,29.24,32.26,9.54,,,16.54,16.54,39.88,52.9,15.65,14.84,16.34,,,,14551.0,,,screener,2026-06-11T12:45:34.591728+05:30
TMCV,2026-06-11,132711.23,130550.23,24.01,11.52,10.44,1.58,43.42,,,26.58,25.24,25.24,25.24,,,0.44,0.76,10.74,83855.0,,,,,,11.97,,,,,,42.56,19.03,17.58,20.49,,,,5615.0,,,screener,2026-06-11T12:45:34.591728+05:30
TMPV,2026-06-11,138901.46,188326.46,21.79,7.49,1.23,0.41,5.58,2.73,1.68,28.15,8.83,9.84,9.42,23.86,15.44,0.71,0.84,1.89,335582.0,,,,-1.01,6.08,5.63,,,39.26,39.26,19.09,42.56,17.29,16.79,23.06,,,,79109.0,,,screener,2026-06-11T12:45:34.591728+05:30
TORNTPHARM,2026-06-11,154857.45,168717.75,70.61,38.2,18.47,11.08,27.43,15.19,7.47,31.66,60.36,54.36,41.38,26.17,23.68,1.79,1.02,8.56,13979.73,,,,13.27,11.8,32.61,,,21.65,21.65,12.07,68.31,16.18,8.96,6.55,,,,15025.5,,,screener,2026-06-11T12:45:34.591728+05:30
TORNTPOWER,2026-06-11,69493.31,82632.44,28.77,14.09,3.64,2.4,13.17,14.0,6.05,31.19,24.35,21.6,15.17,15.64,15.2,0.73,0.95,4.55,28966.31,,,,4.08,18.93,19.13,,,5.6,5.6,13.68,51.09,8.4,22.82,9.33,,,,13970.56,,,screener,2026-06-11T12:45:34.591728+05:30
TRAVELFOOD,2026-06-11,16242.63,16428.06,36.8,20.29,11.26,9.86,35.34,42.37,21.63,52.17,41.41,41.41,41.41,36.14,33.03,0.17,1.91,10.32,1647.8,,,,15.58,59.02,39.36,,,22.76,22.76,53.94,86.19,1.55,9.71,2.54,,,,244.79,,,screener,2026-06-11T12:45:34.591728+05:30
TRENT,2026-06-11,143479.51,145757.76,83.1,37.96,20.57,7.15,27.74,28.34,16.34,49.62,149.41,150.03,141.89,28.55,23.75,0.37,1.06,10.65,20074.21,,,,34.55,50.58,18.66,,,70.71,70.71,68.68,37.01,15.59,22.19,25.03,,,,2561.25,,,screener,2026-06-11T12:45:34.591728+05:30
TRIDENT,2026-06-11,12072.3,13268.19,31.99,13.95,2.48,1.8,8.03,9.86,5.13,24.63,44.24,36.32,25.03,8.14,11.27,0.38,1.57,5.56,6701.05,,,,1.9,8.14,12.97,,,-5.04,-5.04,2.81,73.68,3.07,0.22,23.03,,,,1828.53,,,screener,2026-06-11T12:45:34.591728+05:30
TRITURBINE,2026-06-11,20674.31,20432.31,57.22,38.88,14.29,9.48,27.14,35.86,15.92,35.14,56.83,54.77,41.19,28.65,25.4,0.02,1.98,189.0,2181.1,,,,20.47,25.43,20.59,,,27.62,27.62,26.92,55.84,20.81,16.52,6.83,,,,35.8,,,screener,2026-06-11T12:45:34.591728+05:30
TTML,2026-06-11,8257.58,29110.87,,46.69,,7.12,,55.65,-66.49,41.42,,,,,,,0.01,0.35,1160.23,,,,1.6,2.14,53.21,,,7.26,7.26,5.05,74.36,2.6,0.17,22.87,,,,20868.92,,,screener,2026-06-11T12:45:34.591728+05:30
TVSMOTOR,2026-06-11,156545.96,184835.85,51.34,22.07,16.36,2.79,33.76,17.42,6.18,35.63,61.24,53.96,49.89,30.02,28.01,3.43,0.97,3.18,56069.52,,,,20.59,23.62,14.9,,,32.9,32.9,38.34,50.27,22.56,18.84,8.3,,,,32791.01,,,screener,2026-06-11T12:45:34.591728+05:30
UBL,2026-06-11,35488.47,36233.44,94.9,42.59,7.82,3.84,8.42,10.68,4.18,42.42,118.65,116.94,109.24,9.73,9.44,0.29,1.24,8.07,9239.94,,,,7.2,16.84,8.72,,,4.63,4.63,26.05,70.84,4.94,18.08,4.99,,,,1316.53,,,screener,2026-06-11T12:45:34.591728+05:30
UCOBANK,2026-06-11,31750.14,372957.12,11.44,17.9,0.97,1.21,8.61,5.55,0.73,8.13,19.69,20.06,21.09,7.81,7.12,10.55,2.62,1.27,26281.36,,,,14.19,12.71,66.1,,,14.12,14.12,110.04,90.95,0.08,4.39,4.58,,,,350872.35,,,screener,2026-06-11T12:45:34.591728+05:30
ULTRACEMCO,2026-06-11,318489.23,340859.97,38.51,19.39,4.13,3.6,11.23,12.78,6.03,28.42,47.72,44.2,41.02,10.87,11.34,0.31,0.75,6.91,88511.53,,,,11.86,14.63,19.21,,,17.93,17.93,8.37,59.33,13.61,18.42,8.41,,,,23755.09,,,screener,2026-06-11T12:45:34.591728+05:30
UNIONBANK,2026-06-11,125076.69,1446156.62,6.38,15.42,0.94,1.17,15.71,6.3,1.25,8.13,6.37,6.33,6.88,16.14,14.13,10.39,2.64,1.35,106798.89,,,,9.58,9.03,67.57,,,31.66,31.66,46.87,74.76,9.37,11.51,4.36,,,,1387556.56,,,screener,2026-06-11T12:45:34.591728+05:30
UNITDSPR,2026-06-11,91780.77,90216.77,50.27,32.72,10.25,7.36,21.41,27.49,13.21,42.42,62.66,62.5,71.36,20.73,20.22,0.05,2.05,15.62,12467.0,,,,5.52,8.92,18.28,,,23.45,23.45,34.48,56.67,14.41,15.36,13.54,,,,413.0,,,screener,2026-06-11T12:45:34.591728+05:30
UNOMINDA,2026-06-11,61621.49,64003.48,50.65,25.25,9.05,3.13,19.38,19.7,10.26,27.43,59.0,61.58,50.51,18.63,17.56,0.4,1.2,9.79,19657.59,,,,20.49,25.26,11.45,,,23.34,23.34,42.91,68.37,8.96,16.89,5.79,,,,2740.12,,,screener,2026-06-11T12:45:34.591728+05:30
UPL,2026-06-11,50381.16,67871.16,26.66,6.97,1.45,0.97,5.91,10.17,2.41,21.88,28.25,19.46,20.91,1.97,6.85,0.68,1.21,1.91,51839.0,,,,-1.09,6.02,17.51,,,-19.73,-19.73,-8.93,33.51,41.78,14.63,10.05,,,,23576.0,,,screener,2026-06-11T12:45:34.591728+05:30
URBANCO,2026-06-11,18876.28,18480.14,,-155.65,8.83,12.13,-12.01,-7.82,-9.6,48.71,33.76,33.76,33.76,-1.9,-12.72,0.06,2.45,-13.22,1555.54,,,,34.69,44.41,-16.31,,,7.52,7.52,1.15,19.02,55.77,10.74,9.27,,,,135.79,,,screener,2026-06-11T12:45:34.591728+05:30
USHAMART,2026-06-11,14770.84,14521.61,29.35,18.32,4.47,4.0,16.64,20.18,12.69,21.5,26.85,23.56,19.55,17.1,17.37,0.07,3.28,34.44,3691.06,,,,4.14,11.97,19.1,,,13.0,13.0,27.59,40.52,14.77,14.81,29.8,,,,228.57,,,screener,2026-06-11T12:45:34.591728+05:30
UTIAMC,2026-06-11,11741.88,11438.78,25.02,13.87,2.58,6.91,10.31,15.78,10.26,36.7,19.4,19.97,20.28,14.94,14.44,0.03,1.85,58.57,1698.05,,,,10.26,7.76,47.62,,,2.38,2.38,-1.02,0.0,7.11,60.07,32.82,,,,140.93,,,screener,2026-06-11T12:45:34.591728+05:30
VBL,2026-06-11,177756.58,178266.27,55.88,31.43,9.08,7.83,16.21,19.71,12.16,76.71,64.04,61.07,58.84,21.47,22.47,0.13,1.94,24.7,22692.63,,,,18.08,27.44,23.38,,,23.97,23.97,50.22,59.44,19.51,14.35,6.66,,,,2508.18,,,screener,2026-06-11T12:45:34.591728+05:30
VEDL,2026-06-11,120459.54,144564.54,13.89,5.85,2.42,1.54,19.01,16.49,5.76,29.86,8.31,4.99,3.18,22.46,24.07,0.56,1.32,7.07,78437.0,,,,-18.95,-2.28,29.56,,,-6.86,-6.86,-6.38,56.38,13.93,13.43,16.05,,,,27844.0,,,screener,2026-06-11T12:45:34.591728+05:30
VIJAYA,2026-06-11,13276.79,13646.65,76.74,38.15,13.86,16.31,19.74,21.29,12.44,46.83,67.22,60.01,60.01,18.97,19.56,0.44,2.6,8.0,814.2,,,,21.03,16.66,41.38,,,27.26,27.26,15.47,52.51,13.38,29.93,4.17,,,,422.59,,,screener,2026-06-11T12:45:34.591728+05:30
VMM,2026-06-11,54549.89,55942.98,65.0,28.4,7.35,4.23,12.15,14.79,7.83,39.36,98.74,98.74,98.74,10.39,8.62,0.27,1.6,7.56,12906.32,,,,19.38,23.72,14.59,,,38.98,38.98,47.9,40.12,22.01,32.74,5.13,,,,1987.98,,,screener,2026-06-11T12:45:34.591728+05:30
VOLTAS,2026-06-11,42538.59,42750.14,108.25,56.71,6.69,2.99,6.1,9.04,2.8,45.38,91.8,78.23,59.91,8.03,7.64,0.16,1.33,7.72,14244.5,,,,14.46,13.52,3.62,,,17.48,17.48,-5.62,30.3,18.44,38.28,12.86,,,,992.48,,,screener,2026-06-11T12:45:34.591728+05:30
VTL,2026-06-11,17988.02,19759.65,24.15,13.07,1.71,1.82,7.3,8.86,5.73,24.63,18.06,15.29,11.89,7.78,10.41,0.18,4.15,11.33,9869.05,,,,-0.89,9.96,12.55,,,-2.01,-2.01,12.49,65.09,5.69,16.01,13.19,,,,1854.98,,,screener,2026-06-11T12:45:34.591728+05:30
WAAREEENER,2026-06-11,85711.49,82195.74,21.82,12.42,5.89,3.23,32.83,38.78,16.5,27.95,39.69,39.69,39.69,31.21,31.62,0.22,1.38,20.06,26536.77,,,,57.82,68.52,22.27,,,99.63,99.63,143.12,64.19,7.06,4.32,24.44,,,,3212.62,,,screener,2026-06-11T12:45:34.591728+05:30
